basename,date,line,position,nb_point_fruit_detected,nb_fruit_detected,volumes
pc_2018_08_02_L03_P02_filtered_pred.txt,2018_08_02,03,02,320,0,0
pc_2018_08_02_L01_P04_filtered_pred.txt,2018_08_02,01,04,0,0,0
pc_2018_08_02_L02_P05_filtered_pred.txt,2018_08_02,02,05,3023,35,19194.989927878283
pc_2018_08_02_L02_P02_filtered_pred.txt,2018_08_02,02,02,0,0,0
pc_2018_08_02_L01_P05_filtered_pred.txt,2018_08_02,01,05,0,0,0
pc_2018_08_02_L04_P04_filtered_pred.txt,2018_08_02,04,04,0,0,0
pc_2018_08_02_L04_P09_filtered_pred.txt,2018_08_02,04,09,3488,43,14864.27157856868
pc_2018_08_02_L02_P07_filtered_pred.txt,2018_08_02,02,07,449,2,2850.5305454195664
pc_2018_08_02_L04_P12_filtered_pred.txt,2018_08_02,04,12,10809,103,43956.004607707815
pc_2018_08_02_L03_P04_filtered_pred.txt,2018_08_02,03,04,3098,68,55587.38906899587
pc_2018_08_02_L03_P06_filtered_pred.txt,2018_08_02,03,06,43242,736,285197.5746768559
